"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
6.6583e-05,-6.6179e-05,0,2.2369e-06,0.0125,0.0125,0.05
0.00016647,-5.6909e-05,0,-0.00013631,0.0375,0.0125,0.05
0.00015049,-6.1787e-06,0,-0.00045277,0.0625,0.0125,0.05
-3.7917e-05,4.9043e-05,0,-0.00086126,0.0875,0.0125,0.05
-0.00039315,9.802e-05,0,-0.0012849,0.1125,0.0125,0.05
-0.00088816,0.00013631,0,-0.0016797,0.1375,0.0125,0.05
-0.0014937,0.00016402,0,-0.0020137,0.1625,0.0125,0.05
-0.0021806,0.00018282,0,-0.0022666,0.1875,0.0125,0.05
-0.0029224,0.00019449,0,-0.0024267,0.2125,0.0125,0.05
-0.0036965,0.00020048,0,-0.0024876,0.2375,0.0125,0.05
-0.004483,0.00020186,0,-0.0024458,0.2625,0.0125,0.05
-0.0052646,0.00019927,0,-0.0022997,0.2875,0.0125,0.05
-0.0060255,0.00019308,0,-0.0020487,0.3125,0.0125,0.05
-0.0067509,0.00018335,0,-0.0016932,0.3375,0.0125,0.05
-0.0074261,0.00017004,0,-0.0012344,0.3625,0.0125,0.05
-0.0080366,0.00015298,0,-0.00067514,0.3875,0.0125,0.05
-0.008568,0.000132,0,-2.0215e-05,0.4125,0.0125,0.05
-0.0090056,0.00010697,0,0.00072311,0.4375,0.0125,0.05
-0.0093355,7.7851e-05,0,0.0015445,0.4625,0.0125,0.05
-0.0095441,4.4731e-05,0,0.0024301,0.4875,0.0125,0.05
-0.0096194,8.0278e-06,0,0.003362,0.5125,0.0125,0.05
-0.0095529,-3.139e-05,0,0.0043165,0.5375,0.0125,0.05
-0.009338,-7.2237e-05,0,0.0052664,0.5625,0.0125,0.05
-0.0089733,-0.00011328,0,0.006184,0.5875,0.0125,0.05
-0.0084626,-0.00015298,0,0.0070402,0.6125,0.0125,0.05
-0.0078153,-0.00018948,0,0.0078054,0.6375,0.0125,0.05
-0.0070473,-0.00022073,0,0.0084517,0.6625,0.0125,0.05
-0.0061812,-0.00024469,0,0.0089546,0.6875,0.0125,0.05
-0.0052459,-0.00025949,0,0.0092952,0.7125,0.0125,0.05
-0.0042759,-0.00026356,0,0.0094619,0.7375,0.0125,0.05
-0.0033095,-0.00025584,0,0.0094525,0.7625,0.0125,0.05
-0.0023875,-0.00023593,0,0.0092752,0.7875,0.0125,0.05
-0.00155,-0.00020411,0,0.0089488,0.8125,0.0125,0.05
-0.00083454,-0.00016141,0,0.0085038,0.8375,0.0125,0.05
-0.00027185,-0.00010989,0,0.0079807,0.8625,0.0125,0.05
0.00011363,-5.348e-05,0,0.0074247,0.8875,0.0125,0.05
0.00031154,4.784e-06,0,0.0069002,0.9125,0.0125,0.05
0.00033009,5.6133e-05,0,0.0064647,0.9375,0.0125,0.05
0.00020814,8.4873e-05,0,0.006189,0.9625,0.0125,0.05
5.9971e-05,6.0167e-05,0,0.0061355,0.9875,0.0125,0.05
5.9852e-05,-0.00016826,0,0.00013975,0.0125,0.0375,0.05
4.6575e-05,-4.3215e-05,0,-1.1113e-06,0.0375,0.0375,0.05
-0.00028222,0.00023562,0,-0.00024586,0.0625,0.0375,0.05
-0.00098685,0.0005414,0,-0.00055082,0.0875,0.0375,0.05
-0.002062,0.00082254,0,-0.00087059,0.1125,0.0375,0.05
-0.0034633,0.0010556,0,-0.0011708,0.1375,0.0375,0.05
-0.0051304,0.0012349,0,-0.0014265,0.1625,0.0375,0.05
-0.0069986,0.001363,0,-0.0016206,0.1875,0.0375,0.05
-0.0090054,0.0014454,0,-0.0017417,0.2125,0.0375,0.05
-0.011093,0.0014877,0,-0.0017823,0.2375,0.0375,0.05
-0.01321,0.0014946,0,-0.0017378,0.2625,0.0375,0.05
-0.015308,0.0014696,0,-0.0016053,0.2875,0.0375,0.05
-0.017344,0.001415,0,-0.0013831,0.3125,0.0375,0.05
-0.019274,0.0013321,0,-0.0010706,0.3375,0.0375,0.05
-0.02106,0.0012213,0,-0.00066876,0.3625,0.0375,0.05
