"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0095817,2.6379e-05,0,0.0028961,1,0,0.5,0,0.1
-0.0099215,2.8514e-05,0,0.0028969,1,0.001,0.5,0.001,0.1
-0.010261,3.0648e-05,0,0.0028977,1,0.002,0.5,0.002,0.1
-0.010601,3.2782e-05,0,0.0028985,1,0.003,0.5,0.003,0.1
-0.010941,3.4917e-05,0,0.0028993,1,0.004,0.5,0.004,0.1
-0.011281,3.7051e-05,0,0.0029001,1,0.005,0.5,0.005,0.1
-0.01162,3.9185e-05,0,0.0029009,1,0.006,0.5,0.006,0.1
-0.01196,4.132e-05,0,0.0029017,1,0.007,0.5,0.007,0.1
-0.0123,4.3454e-05,0,0.0029025,1,0.008,0.5,0.008,0.1
-0.01264,4.5588e-05,0,0.0029033,1,0.009,0.5,0.009,0.1
-0.012979,4.7723e-05,0,0.0029041,1,0.01,0.5,0.01,0.1
-0.013319,4.9857e-05,0,0.0029049,1,0.011,0.5,0.011,0.1
-0.013659,5.1991e-05,0,0.0029057,1,0.012,0.5,0.012,0.1
-0.013999,5.4126e-05,0,0.0029065,1,0.013,0.5,0.013,0.1
-0.014338,5.626e-05,0,0.0029073,1,0.014,0.5,0.014,0.1
-0.014678,5.8394e-05,0,0.0029081,1,0.015,0.5,0.015,0.1
-0.015018,6.0529e-05,0,0.0029089,1,0.016,0.5,0.016,0.1
-0.015358,6.2663e-05,0,0.0029097,1,0.017,0.5,0.017,0.1
-0.015697,6.4797e-05,0,0.0029105,1,0.018,0.5,0.018,0.1
-0.016037,6.6932e-05,0,0.0029113,1,0.019,0.5,0.019,0.1
-0.016377,6.9066e-05,0,0.0029121,1,0.02,0.5,0.02,0.1
-0.016717,7.12e-05,0,0.0029129,1,0.021,0.5,0.021,0.1
-0.017056,7.3335e-05,0,0.0029137,1,0.022,0.5,0.022,0.1
-0.017396,7.5469e-05,0,0.0029145,1,0.023,0.5,0.023,0.1
-0.017736,7.7603e-05,0,0.0029152,1,0.024,0.5,0.024,0.1
-0.018076,7.9737e-05,0,0.002916,1,0.025,0.5,0.025,0.1
-0.018722,8.538e-05,0,0.0029166,1,0.026,0.5,0.026,0.1
-0.019369,9.1022e-05,0,0.0029171,1,0.027,0.5,0.027,0.1
-0.020015,9.6664e-05,0,0.0029177,1,0.028,0.5,0.028,0.1
-0.020662,0.00010231,0,0.0029182,1,0.029,0.5,0.029,0.1
-0.021308,0.00010795,0,0.0029188,1,0.03,0.5,0.03,0.1
-0.021955,0.00011359,0,0.0029193,1,0.031,0.5,0.031,0.1
-0.022602,0.00011923,0,0.0029199,1,0.032,0.5,0.032,0.1
-0.023248,0.00012488,0,0.0029204,1,0.033,0.5,0.033,0.1
-0.023895,0.00013052,0,0.002921,1,0.034,0.5,0.034,0.1
-0.024541,0.00013616,0,0.0029215,1,0.035,0.5,0.035,0.1
-0.025188,0.0001418,0,0.0029221,1,0.036,0.5,0.036,0.1
-0.025835,0.00014744,0,0.0029226,1,0.037,0.5,0.037,0.1
-0.026481,0.00015309,0,0.0029232,1,0.038,0.5,0.038,0.1
-0.027128,0.00015873,0,0.0029237,1,0.039,0.5,0.039,0.1
-0.027774,0.00016437,0,0.0029243,1,0.04,0.5,0.04,0.1
-0.028421,0.00017001,0,0.0029248,1,0.041,0.5,0.041,0.1
-0.029068,0.00017565,0,0.0029254,1,0.042,0.5,0.042,0.1
-0.029714,0.0001813,0,0.0029259,1,0.043,0.5,0.043,0.1
-0.030361,0.00018694,0,0.0029265,1,0.044,0.5,0.044,0.1
-0.031007,0.00019258,0,0.002927,1,0.045,0.5,0.045,0.1
-0.031654,0.00019822,0,0.0029276,1,0.046,0.5,0.046,0.1
-0.0323,0.00020387,0,0.0029281,1,0.047,0.5,0.047,0.1
-0.032947,0.00020951,0,0.0029287,1,0.048,0.5,0.048,0.1
-0.033594,0.00021515,0,0.0029292,1,0.049,0.5,0.049,0.1
-0.03424,0.00022079,0,0.0029298,1,0.05,0.5,0.05,0.1
-0.034828,0.0002283,0,0.0029283,1,0.051,0.5,0.051,0.1
